phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues,html_bytes
baseline,https://rust.robertdevore.com/course/09-lifetimes/,content/lessons/09-lifetimes.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/09-lifetimes/,200,Lifetimes describe relationships · Rust Course,46,Design borrowed results without pretending annotations extend storage.,70,Lifetimes describe relationships,h1:Lifetimes describe relationships | h2:A borrowed result needs a source | h3:Run the example | h2:References inside structs | h2:Compiler drill | h2:Exercise,720,en,,,,True,,37,44,5,0,0,0,0,0,2,False,True,False,False,bae5942b23c6d341447eb944d18fb263818afa676f31bd427c941e74582ce6a5,,14454
baseline,https://rust.robertdevore.com/course/10-traits/,content/lessons/10-traits.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/10-traits/,200,Traits where abstraction earns its place · Rust Course,54,"Use standard interfaces, associated types, and dispatch intentionally.",70,Traits where abstraction earns its place,h1:Traits where abstraction earns its place | h2:Start from a useful boundary | h3:Run the example | h2:Associated types carry a relationship | h2:Dyn compatibility is a checked contract | h2:Exercise,624,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,cef7a776b2a70a0ba79df0e82c1d195a10a90abf528e11a9d1c161bb5d73afd4,,13525
baseline,https://rust.robertdevore.com/course/11-iterators/,content/lessons/11-iterators.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/11-iterators/,200,Iterators and closures without hidden ownership · Rust Course,61,"Read item types, captures, laziness, and short-circuiting results.",66,Iterators and closures without hidden ownership,h1:Iterators and closures without hidden ownership | h2:An iterator describes a sequence of steps | h3:Run the example | h2:Closures capture what they need | h2:Prefer understandable data flow | h2:Exercise,601,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,3ecd11cd66a8b5f2bbe7a61ff88002cb359bba28d7d82862741590f1d528f999,,13226
baseline,https://rust.robertdevore.com/course/12-reader/,content/lessons/12-reader.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/12-reader/,200,Stage build: a bounded streaming library · Rust Course,54,Separate parsing from I/O and enforce memory limits before input grows.,71,Stage build: a bounded streaming library,h1:Stage build: a bounded streaming library | h2:Build brief | h3:Run the example | h2:Why the reader and parser are separate | h2:Limit before accumulation | h2:Exercise | h2:Review the API,581,en,,,,True,,38,45,5,0,0,0,0,0,2,False,True,False,False,b86ef9c21b016cb0c860cd00c89170f02b1b22b89febf8707b09b4a9b8eb1666,,12525
baseline,https://rust.robertdevore.com/course/13-cargo/,content/lessons/13-cargo.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/13-cargo/,200,"Cargo, modules, and dependency boundaries · Rust Course",55,"Read the actual workspace, feature graph, lockfile, and release configuration.",78,"Cargo, modules, and dependency boundaries","h1:Cargo, modules, and dependency boundaries | h2:Package, crate, module, workspace | h3:Run the example | h2:Resolver and feature decisions | h2:Lock and update deliberately | h2:Exercise",584,en,,,,True,,36,44,6,0,0,0,0,0,2,False,True,False,False,240282f383e126754859fac712beb538f80341233b8007905a0126446bea0097,,12324
baseline,https://rust.robertdevore.com/course/14-testing/,content/lessons/14-testing.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/14-testing/,200,"Tests, diagnostics, and complementary tools · Rust Course",57,"Test contracts and failures, and use compiler output without inventing it.",74,"Tests, diagnostics, and complementary tools","h1:Tests, diagnostics, and complementary tools | h2:Test the promise a caller relies on | h3:Run the example | h2:A useful verification sequence | h2:Intentionally rejected programs | h2:Exercise",572,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,28551aada9b9e2248dadd2630abe75e9cbcc9dfad998d2b3f0952cd0a62cd115,,12754
baseline,https://rust.robertdevore.com/course/15-interior/,content/lessons/15-interior.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/15-interior/,200,Interior mutability and shared ownership · Rust Course,54,"Distinguish reference counts, runtime borrowing, and synchronization.",69,Interior mutability and shared ownership,h1:Interior mutability and shared ownership | h2:Shared does not always mean unchanging | h3:Run the example | h2:Pick the narrowest mechanism | h2:Apply this to the course project | h2:Exercise,562,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,2e283b85e79317395a39af2af917b62a0f7189ceac86001b4dab637b37d47d13,,12976
baseline,https://rust.robertdevore.com/course/16-threads/,content/lessons/16-threads.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/16-threads/,200,"Threads, Send, and Sync · Rust Course",37,Transfer or borrow work safely while keeping completion and failure explicit.,77,"Threads, Send, and Sync","h1:Threads, Send, and Sync | h2:Ownership crosses a boundary | h3:Run the example | h2:The two marker traits answer different questions | h2:Compiler drill | h2:Correctness extends beyond data races | h2:Exercise",752,en,,,,True,,38,45,5,0,0,0,0,0,2,False,True,False,False,ca9249901b964d4c570c8297e99279560d0c87627694e74c0ad06dd29042de47,,15122
baseline,https://rust.robertdevore.com/course/17-synchronization/,content/lessons/17-synchronization.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/17-synchronization/,200,"Channels, locks, and shutdown · Rust Course",43,"Choose ownership transfer or shared state, and reason about waiting.",68,"Channels, locks, and shutdown","h1:Channels, locks, and shutdown | h2:Give the state a clear owner | h3:Run the example | h2:When a mutex is appropriate | h2:Distinguish the guarantees | h2:Exercise",559,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,b093bbb4e0a575566702895ac589dd73eb12d8cfbb0280ea99ac1c61f9aef5f4,,12530
baseline,https://rust.robertdevore.com/course/18-atomics/,content/lessons/18-atomics.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/18-atomics/,200,Atomics and memory ordering · Rust Course,41,Separate an indivisible counter update from publication of other data.,70,Atomics and memory ordering,h1:Atomics and memory ordering | h2:What the counter actually promises | h3:Run the example | h2:Publication is a different problem | h2:Keep layers separate | h2:Exercise,570,en,,,,True,,36,44,4,0,0,0,0,0,2,False,True,False,False,1a9864a120f8de16ed3727ed7faa068f1b570fb26e853860f393cfffc4420914,,12511
baseline,https://rust.robertdevore.com/course/19-futures/,content/lessons/19-futures.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/19-futures/,200,Futures before runtimes · Rust Course,37,"Understand polling, wakeups, state machines, and what await does not promise.",77,Futures before runtimes,h1:Futures before runtimes | h2:Creating a future is not starting a thread | h3:Run the example | h2:Suspension stores state | h2:Cancellation belongs to ownership | h2:Exercise,593,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,6fe0c33c4b9890d05ccc707530d097c81b89002a20bd3f0f0792b15f25d55f66,,12497
baseline,https://rust.robertdevore.com/course/20-async/,content/lessons/20-async.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/20-async/,200,"Tokio tasks, blocking, and cancellation · Rust Course",53,"Use a runtime with bounded queues, explicit task results, and deliberate shutdown.",82,"Tokio tasks, blocking, and cancellation","h1:Tokio tasks, blocking, and cancellation | h2:Five layers, five responsibilities | h3:Run the example | h2:Bound the work that can accumulate | h2:Cancellation needs an operation-specific contract | h2:Exercise",584,en,,,,True,,36,44,6,0,0,0,0,0,2,False,True,False,False,d67b11efb20fe2911c403adf025e8a52154e0bc0eb97e247f74cfb7c9d9dff91,,13345
baseline,https://rust.robertdevore.com/course/21-pin/,content/lessons/21-pin.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/21-pin/,200,Pin and async trait boundaries · Rust Course,44,Understand address-sensitive values and stable alternatives to native async dyn dispatch.,89,Pin and async trait boundaries,h1:Pin and async trait boundaries | h2:Pin is a promise about a pointee | h2:Use safe constructors first | h3:Run the example | h2:Stable async traits are not every async trait feature | h2:Exercise,743,en,,,,True,,37,44,5,0,0,0,0,0,2,False,True,False,False,f0d35f4967723373d0c5649423566f0e600a97d374a5e55ab8d113dc5251f62f,,15168
baseline,https://rust.robertdevore.com/course/22-async-build/,content/lessons/22-async-build.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/22-async-build/,200,Stage build: an async ingestion pipeline · Rust Course,54,Keep one owner of the aggregate while producers hand over bounded work.,71,Stage build: an async ingestion pipeline,h1:Stage build: an async ingestion pipeline | h2:Build brief | h3:Run the example | h2:Explain the limits honestly | h2:Cancellation exercise | h2:Review the ownership graph,624,en,,,,True,,37,44,5,0,0,0,0,0,2,False,True,False,False,dc2ddc9c1c134be985e22f976c2cdd147899a2f33a00c878edeeaec0ce2eee29,,13544
baseline,https://rust.robertdevore.com/course/23-unsafe/,content/lessons/23-unsafe.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/23-unsafe/,200,Unsafe boundaries and soundness · Rust Course,45,"Audit one small abstraction with explicit invariants, edge cases, and Miri.",75,Unsafe boundaries and soundness,h1:Unsafe boundaries and soundness | h2:Unsafe does not suspend Rust's rules | h2:The safety argument | h2:Aliasing is more than addresses | h2:Exercise,930,en,,,,True,,36,44,6,0,0,0,0,0,2,False,True,False,False,fda61394eacff7244886c20173f18d52cc84fb7c6b568a91bac07d5eee799e6c,,18585
baseline,https://rust.robertdevore.com/course/24-performance/,content/lessons/24-performance.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/24-performance/,200,Measure performance and resource use · Rust Course,50,"Build a reproducible experiment before changing allocation, dispatch, or build profiles.",88,Measure performance and resource use,h1:Measure performance and resource use | h2:A measurement starts with a question | h3:Run the example | h2:Design the experiment | h2:Optimize the bottleneck | h2:Exercise,570,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,64911c06b3b9c5372c5a1cc75133332fb94b2249bbe02c6aa1e19ea9ba4989dc,,12572
baseline,https://rust.robertdevore.com/course/25-horizon/,content/lessons/25-horizon.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/25-horizon/,200,Stable Rust and the horizon · Rust Course,41,"Read current initiatives without turning goals, experiments, or compiler limitations into stable promises.",106,Stable Rust and the horizon,"h1:Stable Rust and the horizon | h2:A freshness point, not a prediction | h3:Run the example | h2:How to update an explanation | h2:Exercise",902,en,,,,True,,37,43,12,0,0,0,0,0,2,False,True,False,False,201d2a27cbc3cc9b9f98a04f3aed7452f12863de4e4585662b0fc1f6674566b0,,16454
baseline,https://rust.robertdevore.com/course/26-interop/,content/lessons/26-interop.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/26-interop/,200,"FFI, serialization, and public contracts · Rust Course",54,Design boundaries where Rust types alone cannot validate the other side.,72,"FFI, serialization, and public contracts","h1:FFI, serialization, and public contracts | h2:The other side has its own rules | h2:Write down ownership in both directions | h2:A file format is also an interface | h2:Exercise",593,en,,,,True,,36,44,7,0,0,0,0,0,2,False,True,False,False,7cffc389bb8f865210a55329b629b8c7adf6b85cd77f2ae54cd9a658b14abab8,,12552
baseline,https://rust.robertdevore.com/course/27-capstone/,content/lessons/27-capstone.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/27-capstone/,200,Capstone: ship Fieldnotes · Rust Course,39,Assemble the tested parser and bounded reader into an installable command-line product.,87,Capstone: ship Fieldnotes,h1:Capstone: ship Fieldnotes | h2:Product brief | h2:Build and install | h2:Why main stays small | h2:Acceptance suite | h2:Your extension | h2:Review rubric,702,en,,,,True,,40,46,5,0,0,0,0,0,1,False,True,False,False,0695ea705242c9694d38cddeeca4cc3596c08d4fd2f32c4112089b48e752ff0d,,15049
baseline,https://rust.robertdevore.com/course/28-release/,content/lessons/28-release.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/28-release/,200,"Release, maintain, and keep learning · Rust Course",50,"Review a public API, reproduce a release, and maintain the course's evidence.",77,"Release, maintain, and keep learning","h1:Release, maintain, and keep learning | h2:A release is a promise others can reproduce | h3:Run the example | h2:Review the public Rust surface | h2:A practical maintenance loop | h2:Exercise | h2:Where to go next",616,en,,,,True,,36,45,5,0,0,0,0,0,2,False,True,False,False,ed0c203b6e4a91e88d3a096b970d35ceab0102a997cc7e1920b0c33ad7443824,,12692
baseline,https://rust.robertdevore.com/practice/,scripts/build.mjs,practice,200,200,True,"index,follow",https://rust.robertdevore.com/practice/,200,The practice bench · Rust Course,32,"Exercises, stage builds, and real Rust compiler diagnostics.",60,The practice bench.,"h1:The practice bench. | h2:Build checkpoints | h3:Stage build: the first event counter | h3:Stage build: a bounded streaming library | h3:Stage build: an async ingestion pipeline | h3:Capstone: ship Fieldnotes | h2:Read the compiler | h3:Ownership, places, and moves | h3:Borrowing and reborrowing | h3:Lifetimes describe relationships | h3:Threads, Send, and Sync | h3:Pin and async trait boundaries | h3:Stable Rust and the horizon | h2:Get the complete lab",324,en,,,,False,,33,18,2,0,0,0,0,0,1,False,True,False,False,e082d5be65342334cc9b9c1c2e889d7010faa9c488c7b1e9d35e90d18e04a900,,7451
baseline,https://rust.robertdevore.com/about/,content/about.md,about,200,200,True,"index,follow",https://rust.robertdevore.com/about/,200,About the course · Rust Course,30,"How this independent Rust course is researched, verified, and maintained.",73,Understanding over folklore.,h1:Understanding over folklore. | h2:What this course teaches | h2:Technical freshness | h2:How the examples stay honest | h2:Your progress and privacy | h2:Source and contributions,478,en,,,,False,,65,9,4,0,0,0,0,0,1,False,True,False,False,e4d6142e3543e89ae07227d2ad333cde9695d4ffee12e1c274351ef846f67247,,7018
